Round,Variable,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
R06,Number_of_Production_Order,140,150,100,190,110,150,135,120,120,130
R06,Number_of_Products_in_Process,140,150,100,190,110,150,135,110,120,130
R06,Material_Inventory,50,0,0,30,10,20,0,0,0,0
R06,Number_of_Products_Produced,130,150,100,170,105,140,140,100,110,120
R06,Cumulative_Number_of_Products_Produced,700,770,600,790,620,750,720,660,630,620
R06,Production_Cost,14000,15000,10000,19000,11000,15000,13500,11000,12000,13000
R06,Number_of_Products_Ready_for_Sale,130,150,100,170,105,140,140,100,110,120
R06,Customer_Visited,145,157,106,170,110,137,145,141,116,109
R06,Cumulative_Customer_Visited,785,876,643,867,620,803,805,829,680,728
R06,Number_of_Sales,130,150,100,170,105,137,140,100,110,109
R06,Cumulative_Number_of_Sales,700,768,600,790,600,743,720,656,630,609
R06,Product_Shortage,15,7,6,0,5,0,5,41,6,0
R06,Cumulative_Product_Shortage,-85,-108,-43,-77,-20,-60,-85,-173,-50,-119
R06,Shortage_Cost,3435,1456,1860,0,1500,0,1150,9840,1722,0
R06,Cumulative_Shortage_Cost,-20225,-22164,-12395,-17360,-5952,-14130,-19182,-36310,-13353,-27635
R06,Product_Inventory,0,0,0,0,0,0,0,0,0,0
R06,Product_Disposed,0,0,0,0,0,3,0,0,0,11
R06,Cumulative_Product_Disposed,0,-2,0,0,-20,-7,0,-4,0,-11
R06,Cumulative_Disposal_Loss,0,-1000,0,0,-10000,-3500,0,-2000,0,-5500
R06,Sales,94770,106200,81000,117300,84000,102613,102200,74000,86570,86110
R06,Cumulative_Sales,515300,543066,475000,561450,483255,544053,525180,469760,489170,455610
R06,Debt,0,0,0,0,0,0,0,0,0,0
R06,Interest_Expense,0,0,0,0,0,0,0,0,0,0
R06,Cash_Flow,8770,11200,11000,2300,5000,7613,14700,-1000,6570,1110
R06,Cumulative_Cash_Flow,5300,13066,55000,-10550,44255,16053,27680,14760,44170,10610
R06,Cash,205300,213066,255000,189450,244255,216053,227680,214760,244170,210610
R06,Material_Inventory_Assets,20000,0,0,12000,4000,8000,0,0,0,0
R06,Product_in_Process_Assets,70000,75000,50000,95000,55000,75000,67500,55000,60000,65000
R06,Inventory_Assets,90000,75000,50000,107000,59000,83000,67500,55000,60000,65000
R06,Fixed_Assets,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
R06,Assets,545300,538066,555000,546450,553255,549053,545180,519760,554170,525610
R06,Cost_of_Product_Manufactured,65000,75000,50000,85000,52500,70000,70000,50000,55000,60000
R06,Gross_Profit,29770,31200,31000,32300,31500,32613,32200,24000,31570,26110
R06,Operating_Profit,9770,11200,11000,12300,11500,12613,12200,4000,11570,6110
